nodule_id,label,x_embed,y_embed
LIDC-IDRI-0001_0,5,32.368687,-40.644707
LIDC-IDRI-0002_0,5,-6.901881,-8.88901
LIDC-IDRI-0003_0,2,41.47852,-4.882454
LIDC-IDRI-0003_1,4,33.013016,-27.384493
LIDC-IDRI-0003_2,3,-17.206602,-24.02136
LIDC-IDRI-0003_3,4,65.597145,8.586388
LIDC-IDRI-0004_0,1,-44.85892,18.64846
LIDC-IDRI-0005_0,3,-47.74386,10.013568
LIDC-IDRI-0005_1,3,-46.6871,3.2115924
LIDC-IDRI-0005_2,2,19.951994,-3.369797
LIDC-IDRI-0006_0,2,43.51425,9.310942
LIDC-IDRI-0006_1,3,7.2871017,-2.3382769
LIDC-IDRI-0006_2,2,-6.531914,-26.847517
LIDC-IDRI-0006_3,3,50.738987,7.728428
LIDC-IDRI-0007_0,5,23.219933,-43.020897
LIDC-IDRI-0007_1,5,16.817772,-40.64259
LIDC-IDRI-0008_0,3,-44.637375,29.181479
LIDC-IDRI-0008_1,3,26.583906,7.6575084
LIDC-IDRI-0010_0,2,-32.95275,16.576435
LIDC-IDRI-0010_1,2,-25.41986,-1.458868
LIDC-IDRI-0010_2,3,3.6588218,2.2894847
LIDC-IDRI-0011_0,3,-3.119969,-37.464497
LIDC-IDRI-0011_1,1,-25.443205,-2.3171227
LIDC-IDRI-0011_2,2,-19.035637,34.47176
LIDC-IDRI-0011_3,1,-27.588615,26.03125
LIDC-IDRI-0011_4,2,26.370773,8.470832
LIDC-IDRI-0011_5,1,-48.88422,21.945488
LIDC-IDRI-0011_6,1,17.04572,17.941603
LIDC-IDRI-0011_7,2,19.403475,8.995456
LIDC-IDRI-0011_8,1,5.736479,-1.899012
LIDC-IDRI-0011_9,4,10.356513,-37.693
LIDC-IDRI-0013_0,3,-33.85019,14.409402
LIDC-IDRI-0013_1,3,18.982485,-18.5717
LIDC-IDRI-0013_2,5,21.882261,-22.907047
LIDC-IDRI-0014_0,4,23.193876,-31.062603
LIDC-IDRI-0016_1,4,19.665634,-26.402739
LIDC-IDRI-0016_2,3,46.71793,3.7834356
LIDC-IDRI-0016_3,3,-28.50816,-10.469074
LIDC-IDRI-0016_4,3,2.1602724,17.112509
LIDC-IDRI-0017_0,3,-0.3015239,4.8410664
LIDC-IDRI-0018_0,2,-48.743404,23.311357
LIDC-IDRI-0018_1,3,-3.9514713,-24.911036
LIDC-IDRI-0018_2,3,-7.985564,-12.659457
LIDC-IDRI-0018_3,5,32.112602,-41.33712
LIDC-IDRI-0019_0,3,29.282206,-40.104733
LIDC-IDRI-0020_0,5,19.2379,-12.777487
LIDC-IDRI-0022_0,2,52.64519,-5.025463
LIDC-IDRI-0023_0,5,18.511187,-40.15243
LIDC-IDRI-0024_0,3,2.3791149,16.668058
LIDC-IDRI-0024_1,3,26.274288,-27.376629
LIDC-IDRI-0024_2,2,41.134323,-6.5823793
LIDC-IDRI-0024_3,2,-5.5548124,9.567043
LIDC-IDRI-0025_0,2,-35.069084,6.2874813
LIDC-IDRI-0026_0,2,-28.948238,4.1251063
LIDC-IDRI-0026_1,3,-22.52064,35.735325
LIDC-IDRI-0027_0,3,-5.4886994,-33.418774
LIDC-IDRI-0027_1,3,-21.754282,-21.755287
LIDC-IDRI-0027_2,3,-17.872913,30.565655
LIDC-IDRI-0027_3,3,51.532207,8.318474
LIDC-IDRI-0027_4,3,-20.677961,-14.377898
LIDC-IDRI-0027_5,3,68.938545,0.6544195
LIDC-IDRI-0030_0,3,-10.510817,-16.878082
LIDC-IDRI-0030_1,3,44.494236,8.492075
LIDC-IDRI-0031_0,2,54.281754,6.1728473
LIDC-IDRI-0031_1,2,-30.607597,6.588559
LIDC-IDRI-0031_2,4,-2.894812,-35.124916
LIDC-IDRI-0031_3,3,73.340004,2.9706368
LIDC-IDRI-0031_4,5,32.18175,-29.379566
LIDC-IDRI-0033_0,3,16.674314,-1.1159468
LIDC-IDRI-0033_1,3,0.54155856,-18.880413
LIDC-IDRI-0036_0,3,59.353413,2.562839
LIDC-IDRI-0036_1,4,-2.7252355,-36.398994
LIDC-IDRI-0037_0,4,13.043704,-37.900047
LIDC-IDRI-0037_1,4,28.436113,5.718502
LIDC-IDRI-0038_0,3,54.66444,7.6129193
LIDC-IDRI-0039_0,2,-18.609682,-22.339186
LIDC-IDRI-0039_1,2,-21.821854,40.69815
LIDC-IDRI-0039_2,1,33.453995,1.1967939
LIDC-IDRI-0039_3,1,-2.7750018,-17.820906
LIDC-IDRI-0039_4,3,0.27403548,-17.793093
LIDC-IDRI-0040_0,1,64.50978,7.805219
LIDC-IDRI-0040_1,3,-22.432226,28.375467
LIDC-IDRI-0040_2,3,-14.997214,-19.334963
LIDC-IDRI-0040_3,3,-17.769108,30.863882
